"","year","named_ind_from","mean_hdi"
"253",2015,"Netherlands",0.80475
"254",2015,"No Colonizer",0.793705882352941
"255",2015,"Other",0.703193548387097
"256",2015,"Portugal",0.558
"257",2015,"Russia",0.771857142857143
"258",2015,"Spain",0.767125
"259",2015,"Turkey",0.785
"260",2015,"United States",0.752666666666667
"261",2016,"England",0.709297872340426
"262",2016,"France",0.5255
"263",2016,"Netherlands",0.807
"264",2016,"No Colonizer",0.796647058823529
"265",2016,"Other",0.706161290322581
"266",2016,"Portugal",0.5614
"267",2016,"Russia",0.774214285714286
"268",2016,"Spain",0.769125
"269",2016,"Turkey",0.787857142857143
"270",2016,"United States",0.756
"271",2017,"England",0.712063829787234
"272",2017,"France",0.5290625
"273",2017,"Netherlands",0.8085
"274",2017,"No Colonizer",0.799294117647059
"275",2017,"Other",0.707967741935484
"276",2017,"Portugal",0.5642
"277",2017,"Russia",0.7775
"278",2017,"Spain",0.770375
"279",2017,"Turkey",0.790142857142857
"280",2017,"United States",0.7455
