"","year","named_ind_from","mean_gdp"
"227",2012,"Russia",125242174938.426
"228",2012,"Spain",562899595606.172
"229",2012,"Turkey",179220893446.304
"230",2012,"United States",197236020030.201
"231",2013,"England",362819406768.728
"232",2013,"France",59717201169.3928
"233",2013,"Netherlands",766946823285.254
"234",2013,"No Colonizer",1114455930043.09
"235",2013,"Other",132817667852.674
"236",2013,"Portugal",690392220466.626
"237",2013,"Russia",132056008120.716
"238",2013,"Spain",586769051173.918
"239",2013,"Turkey",185833597074.806
"240",2013,"United States",214863411968.304
"241",2014,"England",387459571372.374
"242",2014,"France",63442542493.7895
"243",2014,"Netherlands",815488495419.575
"244",2014,"No Colonizer",1151022126592.03
"245",2014,"Other",138979721115.589
"246",2014,"Portugal",709007120552.684
"247",2014,"Russia",136337948118.056
"248",2014,"Spain",606922772952.807
"249",2014,"Turkey",192975923103.033
"250",2014,"United States",232376159703.747
"251",2015,"England",410696100844.202
"252",2015,"France",66549658741.96
"253",2015,"Netherlands",859930737909.235
"254",2015,"No Colonizer",1198113245293.12
"255",2015,"Other",144113025854.149
"256",2015,"Portugal",693635433098.272
"257",2015,"Russia",136971371579.609
"258",2015,"Spain",624756747896.575
"259",2015,"Turkey",198735694519.019
"260",2015,"United States",249108810222.426
"261",2016,"England",437267449570.032
"262",2016,"France",69559724532.2395
"263",2016,"Netherlands",909908870919.877
"264",2016,"No Colonizer",1234440147507.74
"265",2016,"Other",149693828374.846
"266",2016,"Portugal",678872513077.047
"267",2016,"Russia",141031438636.613
"268",2016,"Spain",642245594099.317
"269",2016,"Turkey",209974305195.615
"270",2016,"United States",269158791164.558
"271",2017,"England",467976172769.618
"272",2017,"France",72558335610.5284
"273",2017,"Netherlands",971112979125.662
"274",2017,"No Colonizer",1290983442085.26
"275",2017,"Other",164805417467.138
"276",2017,"Portugal",698878841785.019
"277",2017,"Russia",149151540491.903
"278",2017,"Spain",674507771729.98
"279",2017,"Turkey",223841883618.548
"280",2017,"United States",292576086259.748
"281",2018,"England",512741869364.403
"282",2018,"France",76271017740.6971
"283",2018,"Netherlands",1036625150362.53
"284",2018,"No Colonizer",1414580803877.07
"285",2018,"Other",174466607989.706
"286",2018,"Portugal",721491350462.304
"287",2018,"Russia",157913350768.983
"288",2018,"Spain",698588568108.498
"289",2018,"Turkey",233946049834.609
"290",2018,"United States",317849988630.786
