"","year","named_ind_from","mean_lit"
"289",1998,"Turkey",NA
"290",1998,"United States",NA
"291",1999,"England",74.84
"292",1999,"France",74
"293",1999,"Netherlands",NA
"294",1999,"No Colonizer",NA
"295",1999,"Other",NA
"296",1999,"Portugal",NA
"297",1999,"Russia",99.2966666666667
"298",1999,"Spain",NA
"299",1999,"Turkey",NA
"300",1999,"United States",NA
"301",2000,"England",79.08375
"302",2000,"France",52.9316666666667
"303",2000,"Netherlands",NA
"304",2000,"No Colonizer",86
"305",2000,"Other",81.91
"306",2000,"Portugal",63.865
"307",2000,"Russia",98.852
"308",2000,"Spain",89.425
"309",2000,"Turkey",NA
"310",2000,"United States",92.6
"311",2001,"England",85.8275
"312",2001,"France",14.38
"313",2001,"Netherlands",NA
"314",2001,"No Colonizer",48.61
"315",2001,"Other",78.662
"316",2001,"Portugal",76.16
"317",2001,"Russia",99.4933333333333
"318",2001,"Spain",91.955
"319",2001,"Turkey",97.6333333333333
"320",2001,"United States",NA
"321",2002,"England",76.3766666666667
"322",2002,"France",69.87
"323",2002,"Netherlands",NA
"324",2002,"No Colonizer",NA
"325",2002,"Other",61.9725
"326",2002,"Portugal",NA
"327",2002,"Russia",99.65
"328",2002,"Spain",92.995
"329",2002,"Turkey",97.3
"330",2002,"United States",99.8
"331",2003,"England",75.2833333333333
"332",2003,"France",37.48
"333",2003,"Netherlands",NA
"334",2003,"No Colonizer",NA
"335",2003,"Other",97.77
"336",2003,"Portugal",48.16
"337",2003,"Russia",NA
"338",2003,"Spain",NA
"339",2003,"Turkey",81.36
"340",2003,"United States",92.59
"341",2004,"England",81.618
"342",2004,"France",60.13
"343",2004,"Netherlands",89.99
"344",2004,"No Colonizer",71.122
"345",2004,"Other",99.7
"346",2004,"Portugal",88.62
"347",2004,"Russia",NA
"348",2004,"Spain",90.4733333333333
"349",2004,"Turkey",74.3
"350",2004,"United States",NA
"351",2005,"England",83.332
"352",2005,"France",28.67
"353",2005,"Netherlands",NA
"354",2005,"No Colonizer",77.3275
"355",2005,"Other",65.405
"356",2005,"Portugal",NA
"357",2005,"Russia",NA
"358",2005,"Spain",90.7966666666667
"359",2005,"Turkey",93.04
"360",2005,"United States",NA
"361",2006,"England",76.114
"362",2006,"France",51.1025
"363",2006,"Netherlands",91.98
"364",2006,"No Colonizer",88.12
"365",2006,"Other",74.4133333333333
"366",2006,"Portugal",89.62
"367",2006,"Russia",NA
"368",2006,"Spain",92.835
"369",2006,"Turkey",NA
"370",2006,"United States",NA
"371",2007,"England",83.5416666666667
"372",2007,"France",68.5966666666667
"373",2007,"Netherlands",NA
"374",2007,"No Colonizer",67.135
"375",2007,"Other",81.7466666666667
"376",2007,"Portugal",90.01
"377",2007,"Russia",99.6
"378",2007,"Spain",92.068
"379",2007,"Turkey",85.56
"380",2007,"United States",NA
"381",2008,"England",69.604
"382",2008,"France",76.365
"383",2008,"Netherlands",93.405
"384",2008,"No Colonizer",76.39
"385",2008,"Other",73.2585714285714
"386",2008,"Portugal",79.79
"387",2008,"Russia",NA
"388",2008,"Spain",93.79
"389",2008,"Turkey",86.7066666666667
"390",2008,"United States",95.42
"391",2009,"England",79.9816666666667
"392",2009,"France",74.0566666666667
"393",2009,"Netherlands",92.58
"394",2009,"No Colonizer",81.5266666666667
"395",2009,"Other",81.08
"396",2009,"Portugal",70.44
"397",2009,"Russia",99.7033333333333
"398",2009,"Spain",94.855
"399",2009,"Turkey",93.91
"400",2009,"United States",NA
"401",2010,"England",83.4216666666667
"402",2010,"France",41.1125
"403",2010,"Netherlands",94.68
"404",2010,"No Colonizer",95.6133333333333
"405",2010,"Other",86.437
"406",2010,"Portugal",90.38
"407",2010,"Russia",99.775
"408",2010,"Spain",94.726
"409",2010,"Turkey",83.035
"410",2010,"United States",NA
"411",2011,"England",82.436
"412",2011,"France",46.985
"413",2011,"Netherlands",92.81
"414",2011,"No Colonizer",82.616
"415",2011,"Other",87.565
"416",2011,"Portugal",91.41
"417",2011,"Russia",99.826
"418",2011,"Spain",95.028
"419",2011,"Turkey",94.164
"420",2011,"United States",98.27
"421",2012,"England",84.31
"422",2012,"France",54.0133333333333
"423",2012,"Netherlands",92.87
"424",2012,"No Colonizer",87.4133333333333
"425",2012,"Other",80.4255555555556
"426",2012,"Portugal",90.74
"427",2012,"Russia",99.63
"428",2012,"Spain",95.168
"429",2012,"Turkey",88.735
"430",2012,"United States",99.75
"431",2013,"England",70.89
"432",2013,"France",NA
"433",2013,"Netherlands",NA
"434",2013,"No Colonizer",95.3675
"435",2013,"Other",82.916
"436",2013,"Portugal",91.48
"437",2013,"Russia",99.89
"438",2013,"Spain",96.1025
"439",2013,"Turkey",NA
"440",2013,"United States",97.95
"441",2014,"England",84.59
"442",2014,"France",64.92
"443",2014,"Netherlands",95.12
"444",2014,"No Colonizer",96.765
"445",2014,"Other",85.6263636363636
"446",2014,"Portugal",67.78
"447",2014,"Russia",99.7033333333333
"448",2014,"Spain",95.2466666666667
"449",2014,"Turkey",85.51
"450",2014,"United States",NA
"451",2015,"England",88.772
"452",2015,"France",50.8375
"453",2015,"Netherlands",95.22
"454",2015,"No Colonizer",95.5366666666667
"455",2015,"Other",88.17875
"456",2015,"Portugal",74.045
"457",2015,"Russia",99.885
"458",2015,"Spain",95.2771428571429
"459",2015,"Turkey",93.04
"460",2015,"United States",97.385
"461",2016,"England",94.2775
"462",2016,"France",42
"463",2016,"Netherlands",95.38
"464",2016,"No Colonizer",97.21
"465",2016,"Other",90.5185714285714
"466",2016,"Portugal",92.81
"467",2016,"Russia",99.89
"468",2016,"Spain",95.492
"469",2016,"Turkey",94.9
"470",2016,"United States",NA
"471",2017,"England",88.6933333333333
"472",2017,"France",53.5
"473",2017,"Netherlands",NA
"474",2017,"No Colonizer",72.8875
"475",2017,"Other",79.6075
"476",2017,"Portugal",76.87
"477",2017,"Russia",99.63
"478",2017,"Spain",95.1733333333333
"479",2017,"Turkey",95.58
"480",2017,"United States",NA
"481",2018,"England",78.2452941176471
"482",2018,"France",69.6775
"483",2018,"Netherlands",95.02
"484",2018,"No Colonizer",87.232
"485",2018,"Other",84.7281818181818
"486",2018,"Portugal",93.025
"487",2018,"Russia",99.76
"488",2018,"Spain",95.58
"489",2018,"Turkey",97.5433333333333
"490",2018,"United States",NA
