"","year","named_ind_from","mean_cm"
"247",1984,"Russia",53.2642857142857
"248",1984,"Spain",75.5777777777778
"249",1984,"Turkey",45.5833333333333
"250",1984,"United States",50.7666666666667
"251",1985,"England",72.7954545454545
"252",1985,"France",158.36875
"253",1985,"Netherlands",45.1
"254",1985,"No Colonizer",60.0111111111111
"255",1985,"Other",84.1903225806452
"256",1985,"Portugal",180.54
"257",1985,"Russia",51.2785714285714
"258",1985,"Spain",73.0444444444444
"259",1985,"Turkey",42.7666666666667
"260",1985,"United States",46.075
"261",1986,"England",71.4727272727273
"262",1986,"France",154.73125
"263",1986,"Netherlands",43.625
"264",1986,"No Colonizer",58.3111111111111
"265",1986,"Other",81.3451612903226
"266",1986,"Portugal",178.6
"267",1986,"Russia",49.3785714285714
"268",1986,"Spain",70.7
"269",1986,"Turkey",40.4
"270",1986,"United States",44.8
"271",1987,"England",70.1704545454545
"272",1987,"France",151.4875
"273",1987,"Netherlands",42.125
"274",1987,"No Colonizer",56.7666666666667
"275",1987,"Other",78.6225806451613
"276",1987,"Portugal",176.86
"277",1987,"Russia",47.6571428571429
"278",1987,"Spain",68.5
"279",1987,"Turkey",38.3333333333333
"280",1987,"United States",43.375
"281",1988,"England",68.8386363636364
"282",1988,"France",148.6375
"283",1988,"Netherlands",40.675
"284",1988,"No Colonizer",55.2888888888889
"285",1988,"Other",76.1322580645161
"286",1988,"Portugal",175.14
"287",1988,"Russia",48.1857142857143
"288",1988,"Spain",66.4555555555556
"289",1988,"Turkey",36.2833333333333
"290",1988,"United States",41.8
"291",1989,"England",67.4909090909091
"292",1989,"France",146.09375
"293",1989,"Netherlands",39.175
"294",1989,"No Colonizer",53.8444444444444
"295",1989,"Other",73.8516129032258
"296",1989,"Portugal",173.46
"297",1989,"Russia",45.2642857142857
"298",1989,"Spain",64.4555555555555
"299",1989,"Turkey",34.2666666666667
"300",1989,"United States",40.2
"301",1990,"England",66.2113636363636
"302",1990,"France",143.70625
"303",1990,"Netherlands",37.7
"304",1990,"No Colonizer",52.3444444444444
"305",1990,"Other",71.7935483870968
"306",1990,"Portugal",171.7
"307",1990,"Russia",44.8785714285714
"308",1990,"Spain",62.4888888888889
"309",1990,"Turkey",32.4833333333333
"310",1990,"United States",38.6
"311",1991,"England",65.0295454545455
"312",1991,"France",141.43125
"313",1991,"Netherlands",36.175
"314",1991,"No Colonizer",50.7277777777778
"315",1991,"Other",69.9451612903226
"316",1991,"Portugal",169.8
"317",1991,"Russia",45.0214285714286
"318",1991,"Spain",60.5666666666667
"319",1991,"Turkey",30.9166666666667
"320",1991,"United States",37.025
"321",1992,"England",63.8295454545455
"322",1992,"France",139.1875
"323",1992,"Netherlands",34.675
"324",1992,"No Colonizer",48.9888888888889
"325",1992,"Other",68.358064516129
"326",1992,"Portugal",167.56
"327",1992,"Russia",45.4071428571429
"328",1992,"Spain",58.6
"329",1992,"Turkey",29.55
"330",1992,"United States",35.575
"331",1993,"England",62.7613636363636
"332",1993,"France",136.94375
"333",1993,"Netherlands",33.175
"334",1993,"No Colonizer",47.1222222222222
"335",1993,"Other",67.1258064516129
"336",1993,"Portugal",165.04
"337",1993,"Russia",45.6642857142857
"338",1993,"Spain",56.6777777777778
"339",1993,"Turkey",28.2166666666667
"340",1993,"United States",34.25
"341",1994,"England",61.775
"342",1994,"France",134.6875
"343",1994,"Netherlands",31.725
"344",1994,"No Colonizer",45.1777777777778
"345",1994,"Other",68.5096774193548
"346",1994,"Portugal",162.14
"347",1994,"Russia",45.55
"348",1994,"Spain",54.7555555555556
"349",1994,"Turkey",26.9833333333333
"350",1994,"United States",33.05
"351",1995,"England",60.8409090909091
"352",1995,"France",132.39375
"353",1995,"Netherlands",30.325
"354",1995,"No Colonizer",43.1555555555556
"355",1995,"Other",65.4161290322581
"356",1995,"Portugal",158.64
"357",1995,"Russia",44.9642857142857
"358",1995,"Spain",52.8555555555556
"359",1995,"Turkey",25.8333333333333
"360",1995,"United States",32.05
"361",1996,"England",59.9340909090909
"362",1996,"France",130.0375
"363",1996,"Netherlands",28.975
"364",1996,"No Colonizer",41.1555555555556
"365",1996,"Other",61.7967741935484
"366",1996,"Portugal",154.58
"367",1996,"Russia",43.9571428571429
"368",1996,"Spain",51.0222222222222
"369",1996,"Turkey",24.6833333333333
"370",1996,"United States",31.175
"371",1997,"England",58.9818181818182
"372",1997,"France",127.9125
"373",1997,"Netherlands",27.725
"374",1997,"No Colonizer",39.1833333333333
"375",1997,"Other",60.7741935483871
"376",1997,"Portugal",149.94
"377",1997,"Russia",42.5928571428571
"378",1997,"Spain",49.1666666666667
"379",1997,"Turkey",23.5
"380",1997,"United States",30.5
"381",1998,"England",57.9068181818182
"382",1998,"France",125.0625
"383",1998,"Netherlands",26.55
"384",1998,"No Colonizer",37.25
"385",1998,"Other",60.358064516129
"386",1998,"Portugal",144.92
"387",1998,"Russia",40.8928571428571
"388",1998,"Spain",47.3
"389",1998,"Turkey",22.2166666666667
"390",1998,"United States",29.925
"391",1999,"England",56.6545454545455
"392",1999,"France",122.2875
"393",1999,"Netherlands",25.45
"394",1999,"No Colonizer",35.3333333333333
"395",1999,"Other",56.6451612903226
"396",1999,"Portugal",139.68
"397",1999,"Russia",38.9428571428571
"398",1999,"Spain",45.4444444444444
"399",1999,"Turkey",20.9333333333333
"400",1999,"United States",29.4
"401",2000,"England",55.1931818181818
"402",2000,"France",119.21875
"403",2000,"Netherlands",24.35
"404",2000,"No Colonizer",33.4888888888889
"405",2000,"Other",54.5709677419355
"406",2000,"Portugal",134.28
"407",2000,"Russia",36.8428571428571
"408",2000,"Spain",43.6111111111111
"409",2000,"Turkey",19.7
"410",2000,"United States",28.95
"411",2001,"England",53.5159090909091
"412",2001,"France",115.83125
"413",2001,"Netherlands",23.375
"414",2001,"No Colonizer",31.65
"415",2001,"Other",52.3064516129032
"416",2001,"Portugal",128.76
"417",2001,"Russia",34.7142857142857
"418",2001,"Spain",41.8444444444444
"419",2001,"Turkey",18.6333333333333
"420",2001,"United States",28.525
"421",2002,"England",51.7227272727273
"422",2002,"France",112.3375
"423",2002,"Netherlands",22.4
"424",2002,"No Colonizer",29.8555555555556
"425",2002,"Other",50.0129032258065
"426",2002,"Portugal",123.2
"427",2002,"Russia",32.6214285714286
"428",2002,"Spain",40.1666666666667
"429",2002,"Turkey",17.65
"430",2002,"United States",28.125
"431",2003,"England",49.9363636363636
"432",2003,"France",108.86875
"433",2003,"Netherlands",21.5
